276 276
0 178 101000
178 40 0
40 181 99999
181 43 0
43 231 99998
231 93 0
93 228 99997
228 90 0
90 150 99999
150 12 0
12 151 99999
151 13 0
13 184 101000
184 46 0
46 218 99998
218 80 0
80 234 99998
234 96 0
96 253 99998
253 115 0
115 170 101000
170 32 0
32 233 99999
233 95 0
95 217 99999
217 79 0
79 210 101000
210 72 0
72 273 99999
273 135 0
135 189 99996
189 51 0
51 143 99998
143 5 0
5 250 99998
250 112 0
112 164 99998
164 26 0
26 209 101000
209 71 0
71 224 99998
224 86 0
86 251 101000
251 113 0
113 269 101000
269 131 0
131 212 99999
212 74 0
74 222 99999
222 84 0
84 221 101000
221 83 0
83 171 101000
171 33 0
33 146 101000
146 8 0
8 141 99999
141 3 0
3 159 101000
159 21 0
21 236 101000
236 98 0
98 145 99998
145 7 0
7 264 101000
264 126 0
126 226 101000
226 88 0
88 195 99999
195 57 0
57 186 101000
186 48 0
48 158 99999
158 20 0
20 240 101000
240 102 0
102 192 99999
192 54 0
54 252 101000
252 114 0
114 185 99999
185 47 0
47 257 99999
257 119 0
119 208 101000
208 70 0
70 239 99999
239 101 0
101 246 99998
246 108 0
108 241 99999
241 103 0
103 177 99998
177 39 0
39 148 99999
148 10 0
10 229 99998
229 91 0
91 193 99998
193 55 0
55 207 101000
207 69 0
69 197 99999
197 59 0
59 149 99999
149 11 0
11 205 99999
205 67 0
67 247 99999
247 109 0
109 187 99998
187 49 0
49 216 99999
216 78 0
78 162 99999
162 24 0
24 188 99999
188 50 0
50 262 99998
262 124 0
124 238 99999
238 100 0
100 268 101000
268 130 0
130 180 99999
180 42 0
42 147 99999
147 9 0
9 198 101000
198 60 0
60 232 99997
232 94 0
94 214 101000
214 76 0
76 237 101000
237 99 0
99 243 101000
243 105 0
105 258 99999
258 120 0
120 194 99999
194 56 0
56 260 101000
260 122 0
122 140 99999
140 2 0
2 235 99999
235 97 0
97 213 99999
213 75 0
75 225 101000
225 87 0
87 270 99998
270 132 0
132 152 99999
152 14 0
14 254 99997
254 116 0
116 271 99997
271 133 0
133 166 101000
166 28 0
28 201 101000
201 63 0
63 202 101000
202 64 0
64 156 99999
156 18 0
18 163 99998
163 25 0
25 182 99999
182 44 0
44 142 99997
142 4 0
4 256 99999
256 118 0
118 215 99998
215 77 0
77 157 99999
157 19 0
19 160 99999
160 22 0
22 255 99999
255 117 0
117 155 99999
155 17 0
17 220 99999
220 82 0
82 242 101000
242 104 0
104 169 99999
169 31 0
31 261 99998
261 123 0
123 206 99998
206 68 0
68 227 101000
227 89 0
89 272 99999
272 134 0
134 266 99998
266 128 0
128 244 101000
244 106 0
106 175 99997
175 37 0
37 245 99997
245 107 0
107 190 101000
190 52 0
52 275 99998
275 137 0
137 259 99998
259 121 0
121 263 99999
263 125 0
125 274 99998
274 136 0
136 183 101000
183 45 0
45 191 101000
191 53 0
53 176 99999
176 38 0
38 248 101000
248 110 0
110 161 101000
161 23 0
23 267 99999
267 129 0
129 200 99999
200 62 0
62 173 99999
173 35 0
35 139 99998
139 1 0
1 168 101000
168 30 0
30 153 99999
153 15 0
15 211 101000
211 73 0
73 172 99999
172 34 0
34 230 101000
230 92 0
92 204 99999
204 66 0
66 144 99999
144 6 0
6 167 99998
167 29 0
29 265 99999
265 127 0
127 174 99999
174 36 0
36 203 99998
203 65 0
65 219 99997
219 81 0
81 249 101000
249 111 0
111 196 101000
196 58 0
58 179 101000
179 41 0
41 199 99999
199 61 0
61 154 99999
154 16 0
16 165 99998
165 27 0
27 223 99998
223 85 0
85 138 99999
138 0 0
